genesymbol,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig,name
PIG2,-0.078,0.056656,0.478,8.88E-07,-0.134,0.072301,YIL045W
GDH2,0.485,9.07E-09,0.242,0.21914,0,0.999999,YDL215C
YER079W,-0.174,4.19E-04,-0.267,4.69E-05,-0.046,0.40867,YER079W
PRP9,0.244,2.77E-04,-0.119,0.25629,0.339,0.011822,YDL030W
MPT1,0.218,5.07E-05,-0.419,1.23E-04,0.571,9.57E-05,YMR005W
YER124C,0.179,1.85E-04,0.126,0.014038,-0.022,0.76846,YER124C
RPL11B,-0.188,2.64E-04,-0.425,7.40E-07,-0.084,0.1613,YGR085C
SXM1,-0.119,0.021972,0.086,0.5176,-0.214,0.40913,YDR395W
CTT1,-0.91,1.68E-10,0.596,1.98E-04,-0.394,3.07E-06,YGR088W
SER3,-0.568,2.53E-10,-0.423,3.04E-05,0.109,0.094304,YER081W
PIS1,-0.495,1.05E-09,0.025,0.54593,-0.89,5.62E-18,YPR113W
MAM33,0.033,0.68369,0.146,0.0033116,-0.339,9.00E-06,YIL070C
ACS2,-0.042,0.24703,-0.014,0.78003,-0.172,0.011567,YLR153C
YGR046W,0.158,0.0020954,0.177,5.15E-04,0.124,0.10073,YGR046W
YNL164C,0.272,7.39E-04,-0.949,3.85E-05,1.345,5.79E-06,YNL164C
YDR070C,-0.915,4.65E-11,0.671,1.49E-04,-0.089,0.1936,YDR070C
STE4,-0.189,4.19E-05,-0.256,0.0010135,-0.158,0.023184,YOR212W
NCE103,0.998,4.26E-11,0.506,1.60E-08,0.686,3.33E-07,YNL036W
YML114C,0.226,4.52E-04,-0.145,0.12134,0.385,0.0058304,YML114C
SPC24,0.093,0.41398,0.371,5.06E-05,-0.296,0.35411,YMR117C
RPA135,-0.129,0.0032078,-0.394,5.87E-05,-0.359,0.0061199,YPR010C
YOR215C,0.151,7.08E-04,0.137,0.010881,0.335,1.27E-04,YOR215C
ASM4,0.069,0.091906,-0.074,0.32752,0.124,0.081403,YDL088C
SIK1,0.02,0.70174,-0.521,1.08E-05,0.49,3.38E-08,YLR197W
ARO8,-0.305,4.27E-07,-0.286,4.24E-05,-0.536,3.89E-13,YGL202W
SMD1,-0.074,0.11939,-0.133,0.08221,0.029,0.80755,YGR074W
NPL4,0.128,0.0078298,-0.134,0.13454,0.429,0.0016184,YBR170C
YDL023C,-0.712,4.56E-11,0.497,1.89E-05,-0.406,1.71E-08,YDL023C
YGR136W,-0.167,2.50E-04,-0.163,0.0042386,-0.204,0.0020376,YGR136W
CMK1,0.229,1.14E-05,0.304,8.17E-06,0.047,0.64057,YFR014C
RPL31A,-0.218,0.0041386,-0.451,1.57E-06,0.056,0.38208,YDL075W
RPL16B,-0.346,2.65E-07,-0.284,5.20E-05,-0.124,0.026888,YNL069C
,,,,,,,YER056CA
RPL34B,-0.258,3.79E-05,-0.451,3.47E-07,-0.025,0.66627,YIL052C
