"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"2162.02930403","pp","YPR048W (pp) YOR355W","false","pp","YPR048W (pp) YOR355W"
"3388.0","pp","YPR048W (pp) YDL215C","false","pp","YPR048W (pp) YDL215C"
"988.0","pp","YLR321C (pp) YDR412W","false","pp","YLR321C (pp) YDR412W"
"496.0","pd","YBR072W (pd) YGL073W","false","pd","YBR072W (pd) YGL073W"
"4320.0","pp","YGL073W (pp) YOR178C","false","pp","YGL073W (pp) YOR178C"
"981.0","pd","YGL073W (pd) YHR053C","false","pd","YGL073W (pd) YHR053C"
"981.0","pd","YGL073W (pd) YHR055C","false","pd","YGL073W (pd) YHR055C"
"1476.0","pd","YGL073W (pd) YER103W","false","pd","YGL073W (pd) YER103W"
"496.0","pp","YBL069W (pp) YGL008C","false","pp","YBL069W (pp) YGL008C"
"496.0","pp","YNL189W (pp) YDL236W","false","pp","YNL189W (pp) YDL236W"
"1960.0","pp","YNL189W (pp) YPL111W","false","pp","YNL189W (pp) YPL111W"
"2598.55641026","pp","YNL189W (pp) YER065C","false","pp","YNL189W (pp) YER065C"
"496.0","pp","YNL189W (pp) YPR062W","false","pp","YNL189W (pp) YPR062W"
"4592.87952048","pp","YLR319C (pp) YLR362W","false","pp","YLR319C (pp) YLR362W"
"6.0","pp","YNL311C (pp) YKL001C","false","pp","YNL311C (pp) YKL001C"
"8.0","pp","YOL016C (pp) YBR109C","false","pp","YOL016C (pp) YBR109C"
"12.0","pp","YBR109C (pp) YOR326W","false","pp","YBR109C (pp) YOR326W"
"8.0","pp","YBR109C (pp) YFR014C","false","pp","YBR109C (pp) YFR014C"
"2.0","pp","YJL036W (pp) YDL113C","false","pp","YJL036W (pp) YDL113C"
"4.0","pp","YEL041W (pp) YHR115C","false","pp","YEL041W (pp) YHR115C"
"4.0","pp","YHR115C (pp) YOR215C","false","pp","YHR115C (pp) YOR215C"
"611.26923077","pd","YNL167C (pd) YOR202W","false","pd","YNL167C (pd) YOR202W"
"2.0","pp","YDL063C (pp) YPL131W","false","pp","YDL063C (pp) YPL131W"
"2.0","pp","YGL161C (pp) YDR100W","false","pp","YGL161C (pp) YDR100W"
"496.0","pp","YMR183C (pp) YGR009C","false","pp","YMR183C (pp) YGR009C"
"739.0","pp","YGR009C (pp) YAL030W","false","pp","YGR009C (pp) YAL030W"
"739.0","pp","YGR009C (pp) YOR327C","false","pp","YGR009C (pp) YOR327C"
"4025.28291708","pp","YGR009C (pp) YDR335W","false","pp","YGR009C (pp) YDR335W"
"5785.28291708","pp","YGR009C (pp) YBL050W","false","pp","YGR009C (pp) YBL050W"
"4.0","pp","YMR291W (pp) YGL115W","false","pp","YMR291W (pp) YGL115W"
"4.0","pp","YGR048W (pp) YPL222W","false","pp","YGR048W (pp) YPL222W"
"381.0","pd","YAL040C (pd) YMR043W","false","pd","YAL040C (pd) YMR043W"
"988.0","pd","YFR034C (pd) YBR093C","false","pd","YFR034C (pd) YBR093C"
"2.0","pp","YFR037C (pp) YOR290C","false","pp","YFR037C (pp) YOR290C"
"11988.0","pp","YER133W (pp) YDR412W","false","pp","YER133W (pp) YDR412W"
"7242.0","pp","YER133W (pp) YOR178C","false","pp","YER133W (pp) YOR178C"
"496.0","pp","YER133W (pp) YOR315W","false","pp","YER133W (pp) YOR315W"
"496.0","pp","YER133W (pp) YMR311C","false","pp","YER133W (pp) YMR311C"
"496.0","pp","YER133W (pp) YBR050C","false","pp","YER133W (pp) YBR050C"
"887.73076923","pd","YIL162W (pd) YNL167C","false","pd","YIL162W (pd) YNL167C"
"496.0","pp","YFL038C (pp) YOR036W","false","pp","YFL038C (pp) YOR036W"
"2356.12454212","pp","YOR355W (pp) YNL091W","false","pp","YOR355W (pp) YNL091W"
"2.0","pp","YML074C (pp) YJL190C","false","pp","YML074C (pp) YJL190C"
